package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,JsonFactory,,275,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,277,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,180,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,191,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,199,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,219,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,224,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,229,31
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,257,31
com.fasterxml.jackson.core,JsonFactory,canUseCharArrays,,398,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,829,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,831,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,836,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,837,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,838,31
com.fasterxml.jackson.core,JsonFactory,createParser,java.lang.String,839,31
com.fasterxml.jackson.core,JsonFactory,_createParser,"char[],int,int,com.fasterxml.jackson.core.io.IOContext,boolean",1227,31
com.fasterxml.jackson.core,JsonFactory,_createParser,"char[],int,int,com.fasterxml.jackson.core.io.IOContext,boolean",1228,31
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1385,31
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1386,31
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1388,31
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1392,31
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1400,31
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,126,31
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,127,31
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,222,31
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",265,31
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",266,31
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",268,31
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",269,31
