package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,JsonFactory,,268,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,270,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,183,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,192,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,212,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,217,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,222,33
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,250,33
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],783,33
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],784,33
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],790,33
com.fasterxml.jackson.core,JsonFactory,_createParser,"byte[],int,int,com.fasterxml.jackson.core.io.IOContext",1238,33
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1378,33
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1379,33
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1381,33
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1385,33
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1393,33
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,129,33
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,130,33
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,222,33
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",265,33
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",266,33
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",268,33
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",269,33
