package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,4
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,4
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,4
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,4
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,4
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,4
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1139,4
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1140,4
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1141,4
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1142,4
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1157,4
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1429,4
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1431,4
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1434,4
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,4
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,4
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1500,4
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1506,4
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,4
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,4
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,4
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,4
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,4
