package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,5
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,5
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,5
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,5
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,5
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,5
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,5
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,5
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,5
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,5
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,5
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,5
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,5
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,5
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,5
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,5
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,5
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",252,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",253,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",254,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",257,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",258,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",259,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",260,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",261,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",263,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",264,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",266,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",267,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",270,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",271,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",272,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,304,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,305,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,307,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,308,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",559,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",568,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",569,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",571,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",573,5
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,findName,"int[],int",575,5
