package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,6
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,6
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,6
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,6
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,6
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,6
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1139,6
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1140,6
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1141,6
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1142,6
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1157,6
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1429,6
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1431,6
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1434,6
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,6
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,6
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1500,6
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1506,6
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,6
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,6
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,6
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,6
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,6
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,6
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,6
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,6
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,6
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,6
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,6
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,6
com.fasterxml.jackson.core$JsonGenerator,Feature,enabledIn,int,243,6
com.fasterxml.jackson.core$JsonGenerator,Feature,getMask,,245,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",252,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",253,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",254,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",257,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",258,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",259,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",260,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",261,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",263,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",264,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",266,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",267,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",270,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",271,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",272,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,304,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,305,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,307,6
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,308,6
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",102,6
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",103,6
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",104,6
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",105,6
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",106,6
com.fasterxml.jackson.core.io,IOContext,setEncoding,com.fasterxml.jackson.core.JsonEncoding,109,6
com.fasterxml.jackson.core.io,IOContext,setEncoding,com.fasterxml.jackson.core.JsonEncoding,110,6
com.fasterxml.jackson.core.io,IOContext,isResourceManaged,,128,6
com.fasterxml.jackson.core.io,IOContext,constructTextBuffer,,137,6
com.fasterxml.jackson.core.io,IOContext,allocWriteEncodingBuffer,,159,6
com.fasterxml.jackson.core.io,IOContext,allocWriteEncodingBuffer,,160,6
com.fasterxml.jackson.core.io,IOContext,allocConcatBuffer,,201,6
com.fasterxml.jackson.core.io,IOContext,allocConcatBuffer,,202,6
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],226,6
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],230,6
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],231,6
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],232,6
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],234,6
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],253,6
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],255,6
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],256,6
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],257,6
