package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,8
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,8
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,8
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,8
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,8
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,8
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,8
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,8
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,8
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,8
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,8
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,8
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,8
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,8
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,8
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,8
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,8
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",252,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",253,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",254,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",257,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",258,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",259,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",260,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",261,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",263,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",264,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",266,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",267,8
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",270,8
