package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,1
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,1
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,1
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,1
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,1
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,1
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,1
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,1
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,1
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,1
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,1
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,1
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,1
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,1
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,1
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,1
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,1
