package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,11
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,11
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,11
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,11
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,11
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,11
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,11
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,11
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,11
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,11
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,11
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,11
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,11
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,11
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,11
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,11
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,11
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,11
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,11
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,11
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,11
org.jfree.data,DefaultKeyedValues,getKey,int,139,11
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,11
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,11
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,11
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",234,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",235,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",240,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",241,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",242,11
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",244,11
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,11
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,11
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,11
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,11
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,11
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,11
org.jfree.data.general,DefaultPieDataset,getKey,int,138,11
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",198,11
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",199,11
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",200,11
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,11
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",214,11
