package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,12
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,12
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,12
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,12
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,12
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,12
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,12
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,12
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,12
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,12
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,12
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,12
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,12
