package,class,method,parameter,line,bug
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,12
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",56,12
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"double,double,double,double",84,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"double,double,double,double",85,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",98,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",99,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",102,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",103,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",104,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",105,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",106,12
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",107,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,,149,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,,155,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",196,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",198,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",199,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",200,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",201,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",202,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",203,12
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",204,12
org.jfree.chart.plot,Plot,Plot,,226,12
org.jfree.chart.plot,Plot,Plot,,197,12
org.jfree.chart.plot,Plot,Plot,,200,12
org.jfree.chart.plot,Plot,Plot,,227,12
org.jfree.chart.plot,Plot,Plot,,228,12
org.jfree.chart.plot,Plot,Plot,,229,12
org.jfree.chart.plot,Plot,Plot,,230,12
org.jfree.chart.plot,Plot,Plot,,231,12
org.jfree.chart.plot,Plot,Plot,,232,12
org.jfree.chart.plot,Plot,Plot,,233,12
org.jfree.chart.plot,Plot,Plot,,234,12
org.jfree.chart.plot,Plot,Plot,,235,12
org.jfree.chart.plot,Plot,Plot,,236,12
org.jfree.chart.plot,Plot,Plot,,238,12
org.jfree.chart.plot,Plot,Plot,,239,12
org.jfree.chart.plot,Plot,Plot,,240,12
org.jfree.chart.plot,Plot,Plot,,242,12
org.jfree.chart.plot,Plot,Plot,,244,12
org.jfree.chart.plot,Plot,Plot,,245,12
org.jfree.chart.plot,Plot,Plot,,246,12
org.jfree.chart.plot,PiePlot,PiePlot,,553,12
org.jfree.chart.plot,PiePlot,PiePlot,,554,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,562,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,371,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,374,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,377,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,420,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,438,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,444,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,454,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,457,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,460,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,463,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,563,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,564,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,567,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,569,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,570,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,571,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,572,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,573,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,575,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,576,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,577,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,579,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,580,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,581,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,582,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,584,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,585,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,586,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,588,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,590,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,591,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,592,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,593,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,594,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,595,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,596,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,597,12
org.jfree.chart.plot,PiePlot,PiePlot,org.jfree.data.general.PieDataset,598,12
