package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,100,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,101,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,102,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,103,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,104,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,105,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,106,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,107,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,108,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,109,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,110,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,112,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,113,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,116,12
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,117,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,12
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,12
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,12
