package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,18
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,18
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,18
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,18
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,18
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,18
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,18
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,18
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,18
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,18
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,18
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,18
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,18
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,18
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,18
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,18
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,18
