package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,19
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,19
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,19
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,19
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,19
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,19
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,19
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,19
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,19
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,19
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,19
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,19
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,19
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,19
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,19
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,19
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,19
