package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,20
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,20
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,20
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,20
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,20
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,20
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,20
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,20
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,20
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,20
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,20
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,20
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,20
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,20
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,20
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,20
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,20
