package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findDomainBounds,org.jfree.data.xy.XYDataset,553,21
org.jfree.data.general,DatasetUtils,findDomainBounds,"org.jfree.data.xy.XYDataset,boolean",569,21
org.jfree.data.general,DatasetUtils,findDomainBounds,"org.jfree.data.xy.XYDataset,boolean",573,21
org.jfree.data.general,DatasetUtils,findDomainBounds,"org.jfree.data.xy.XYDataset,boolean",578,21
org.jfree.data.general,DatasetUtils,findDomainBounds,"org.jfree.data.xy.XYDataset,boolean",580,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",642,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",643,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",644,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",645,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",647,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",648,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",649,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",650,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",651,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",652,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",653,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",654,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",655,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",656,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",657,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",659,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",660,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",661,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",663,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",664,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",665,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",669,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",683,21
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",687,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,21
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,21
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,21
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,21
org.jfree.data,Range,Range,"double,double",89,21
org.jfree.data,Range,Range,"double,double",90,21
org.jfree.data,Range,Range,"double,double",95,21
org.jfree.data,Range,Range,"double,double",96,21
org.jfree.data,Range,Range,"double,double",97,21
org.jfree.data,Range,getLowerBound,,105,21
org.jfree.data,Range,getUpperBound,,114,21
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,63,21
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,64,21
org.jfree.data.general,AbstractSeriesDataset,indexOf,java.lang.Comparable,98,21
org.jfree.data.general,AbstractSeriesDataset,indexOf,java.lang.Comparable,99,21
org.jfree.data.general,AbstractSeriesDataset,indexOf,java.lang.Comparable,104,21
org.jfree.data.xy,AbstractXYDataset,AbstractXYDataset,,53,21
