package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findRangeBounds,org.jfree.data.category.CategoryDataset,699,21
org.jfree.data.general,DatasetUtils,findRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",713,21
org.jfree.data.general,DatasetUtils,findRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",715,21
org.jfree.data.general,DatasetUtils,findRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",720,21
org.jfree.data.general,DatasetUtils,findRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",722,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",851,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",852,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",853,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",854,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",855,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",886,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",887,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",888,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",889,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",890,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",891,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",892,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",893,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",899,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",903,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,21
