package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1927,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1928,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1929,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1932,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1933,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1934,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1935,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1939,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1940,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1941,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1943,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1944,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1945,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1946,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1947,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1948,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1949,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1950,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1951,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1952,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1953,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1954,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1957,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1964,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1965,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1966,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1969,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1970,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1971,21
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1975,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,21
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,76,21
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,77,21
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,78,21
org.jfree.data.category,DefaultCategoryDataset,getRowCount,,89,21
org.jfree.data.category,DefaultCategoryDataset,getColumnCount,,101,21
org.jfree.data.category,DefaultCategoryDataset,getValue,"int,int",117,21
org.jfree.data.category,DefaultCategoryDataset,getRowKey,int,133,21
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",232,21
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",233,21
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",234,21
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",246,21
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",247,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,21
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,74,21
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,75,21
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,82,21
