package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",851,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",852,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",853,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",854,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",855,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",858,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",860,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",861,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",862,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",864,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",865,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",866,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",867,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",869,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",870,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",871,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",872,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",873,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",875,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",876,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",877,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",878,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",879,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",883,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",886,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",887,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",888,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",889,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",890,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",891,21
