package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,sampleFunction2D,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",418,21
org.jfree.data.general,DatasetUtils,sampleFunction2D,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",420,21
org.jfree.data.general,DatasetUtils,sampleFunction2D,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",421,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",442,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",443,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",444,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",447,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",451,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",452,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",453,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",454,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",455,21
org.jfree.data.general,DatasetUtils,sampleFunction2DToSeries,"org.jfree.data.function.Function2D,double,double,int,java.lang.Comparable",457,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,21
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,21
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,21
org.jfree.data.general,Series,Series,java.lang.Comparable,90,21
org.jfree.data.general,Series,Series,java.lang.Comparable,91,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",99,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",100,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",101,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",102,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",103,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",104,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",105,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",106,21
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",107,21
org.jfree.data.general,Series,getKey,,117,21
org.jfree.data.general,Series,addChangeListener,org.jfree.data.general.SeriesChangeListener,295,21
org.jfree.data.general,Series,addChangeListener,org.jfree.data.general.SeriesChangeListener,296,21
org.jfree.data.general,Series,fireSeriesChanged,,313,21
org.jfree.data.general,Series,fireSeriesChanged,,314,21
