package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateRangeBounds,org.jfree.data.category.CategoryDataset,834,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",851,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",852,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",853,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",854,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",855,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",858,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",860,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",861,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",862,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",864,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",865,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",866,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",867,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",869,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",870,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",871,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",872,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",873,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",875,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",876,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",877,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",878,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",879,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",883,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",899,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",900,21
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",903,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,21
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,21
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,21
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,21
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,21
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,21
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,21
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,21
