package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,org.jfree.data.xy.TableXYDataset,2062,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2076,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2077,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2078,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2079,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2101,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data,Range,Range,"double,double",89,23
org.jfree.data,Range,Range,"double,double",90,23
org.jfree.data,Range,Range,"double,double",95,23
org.jfree.data,Range,Range,"double,double",96,23
org.jfree.data,Range,Range,"double,double",97,23
org.jfree.data,Range,equals,java.lang.Object,426,23
org.jfree.data,Range,equals,java.lang.Object,429,23
org.jfree.data,Range,equals,java.lang.Object,430,23
org.jfree.data,Range,equals,java.lang.Object,433,23
org.jfree.data,Range,equals,java.lang.Object,436,23
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,63,23
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,64,23
org.jfree.data.xy,AbstractXYDataset,AbstractXYDataset,,53,23
org.jfree.data.xy,AbstractIntervalXYDataset,AbstractIntervalXYDataset,,51,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",133,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",134,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",135,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",136,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",137,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",138,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",139,23
org.jfree.data.xy,IntervalXYDelegate,IntervalXYDelegate,"org.jfree.data.xy.XYDataset,boolean",140,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,,110,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,,111,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,120,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,92,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,95,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,98,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,101,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,121,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,122,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,123,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,124,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,125,23
org.jfree.data.xy,DefaultTableXYDataset,DefaultTableXYDataset,boolean,126,23
org.jfree.data.xy,DefaultTableXYDataset,getItemCount,,225,23
org.jfree.data.xy,DefaultTableXYDataset,getItemCount,,229,23
