package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateDomainBounds,org.jfree.data.xy.XYDataset,626,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",642,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",643,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",644,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",645,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",647,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",671,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",672,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",673,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",674,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",675,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",676,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",677,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",678,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",683,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",687,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,23
org.jfree.data,Range,Range,"double,double",89,23
org.jfree.data,Range,Range,"double,double",90,23
org.jfree.data,Range,Range,"double,double",95,23
org.jfree.data,Range,Range,"double,double",96,23
org.jfree.data,Range,Range,"double,double",97,23
org.jfree.data,Range,getLowerBound,,105,23
org.jfree.data,Range,getUpperBound,,114,23
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,63,23
org.jfree.data.general,AbstractSeriesDataset,AbstractSeriesDataset,,64,23
org.jfree.data.xy,AbstractXYDataset,AbstractXYDataset,,53,23
org.jfree.data.xy,DefaultXYDataset,DefaultXYDataset,,80,23
org.jfree.data.xy,DefaultXYDataset,DefaultXYDataset,,81,23
org.jfree.data.xy,DefaultXYDataset,DefaultXYDataset,,82,23
org.jfree.data.xy,DefaultXYDataset,DefaultXYDataset,,83,23
org.jfree.data.xy,DefaultXYDataset,getSeriesCount,,92,23
org.jfree.data.xy,DefaultXYDataset,indexOf,java.lang.Comparable,124,23
org.jfree.data.xy,DefaultXYDataset,getItemCount,int,152,23
org.jfree.data.xy,DefaultXYDataset,getItemCount,int,155,23
org.jfree.data.xy,DefaultXYDataset,getItemCount,int,156,23
org.jfree.data.xy,DefaultXYDataset,getXValue,"int,int",178,23
org.jfree.data.xy,DefaultXYDataset,getXValue,"int,int",179,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",260,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",264,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",267,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",271,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",275,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",276,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",277,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",278,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",284,23
org.jfree.data.xy,DefaultXYDataset,addSeries,"java.lang.Comparable,double[][]",285,23
