package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateRangeBounds,org.jfree.data.category.CategoryDataset,834,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",851,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",852,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",853,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",854,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",855,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",858,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",860,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",861,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",862,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",864,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",865,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",866,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",867,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",869,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",870,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",871,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",872,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",873,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",875,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",876,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",877,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",878,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",879,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",883,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",899,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",900,23
org.jfree.data.general,DatasetUtils,iterateRangeBounds,"org.jfree.data.category.CategoryDataset,boolean",903,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,23
org.jfree.data,Range,Range,"double,double",89,23
org.jfree.data,Range,Range,"double,double",90,23
org.jfree.data,Range,Range,"double,double",95,23
org.jfree.data,Range,Range,"double,double",96,23
org.jfree.data,Range,Range,"double,double",97,23
org.jfree.data,Range,equals,java.lang.Object,426,23
org.jfree.data,Range,equals,java.lang.Object,429,23
org.jfree.data,Range,equals,java.lang.Object,430,23
org.jfree.data,Range,equals,java.lang.Object,433,23
org.jfree.data,Range,equals,java.lang.Object,436,23
org.jfree.data,KeyedObjects2D,KeyedObjects2D,,75,23
org.jfree.data,KeyedObjects2D,KeyedObjects2D,,76,23
org.jfree.data,KeyedObjects2D,KeyedObjects2D,,77,23
org.jfree.data,KeyedObjects2D,KeyedObjects2D,,78,23
org.jfree.data,KeyedObjects2D,KeyedObjects2D,,79,23
org.jfree.data,KeyedObjects2D,getRowCount,,89,23
org.jfree.data,KeyedObjects2D,getColumnCount,,100,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",114,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",115,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",116,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",117,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",118,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",119,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",120,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",121,23
org.jfree.data,KeyedObjects2D,getObject,"int,int",125,23
org.jfree.data,KeyedObjects2D,addObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",251,23
org.jfree.data,KeyedObjects2D,addObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",252,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",263,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",264,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",266,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",267,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",271,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",272,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",273,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",275,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",276,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",277,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",278,23
org.jfree.data,KeyedObjects2D,setObject,"java.lang.Object,java.lang.Comparable,java.lang.Comparable",280,23
org.jfree.data,KeyedObjects,KeyedObjects,,60,23
org.jfree.data,KeyedObjects,KeyedObjects,,61,23
org.jfree.data,KeyedObjects,KeyedObjects,,62,23
org.jfree.data,KeyedObjects,getObject,int,83,23
org.jfree.data,KeyedObjects,getObject,int,84,23
org.jfree.data,KeyedObjects,getObject,int,85,23
org.jfree.data,KeyedObjects,getObject,int,86,23
org.jfree.data,KeyedObjects,getObject,int,88,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,121,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,122,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,123,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,124,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,125,23
org.jfree.data,KeyedObjects,getIndex,java.lang.Comparable,129,23
org.jfree.data,KeyedObjects,getObject,java.lang.Comparable,156,23
org.jfree.data,KeyedObjects,getObject,java.lang.Comparable,157,23
org.jfree.data,KeyedObjects,getObject,java.lang.Comparable,161,23
org.jfree.data,KeyedObjects,setObject,"java.lang.Comparable,java.lang.Object",188,23
org.jfree.data,KeyedObjects,setObject,"java.lang.Comparable,java.lang.Object",189,23
org.jfree.data,KeyedObjects,setObject,"java.lang.Comparable,java.lang.Object",194,23
org.jfree.data,KeyedObjects,setObject,"java.lang.Comparable,java.lang.Object",195,23
org.jfree.data,KeyedObjects,setObject,"java.lang.Comparable,java.lang.Object",197,23
org.jfree.data,KeyedObject,KeyedObject,"java.lang.Comparable,java.lang.Object",65,23
org.jfree.data,KeyedObject,KeyedObject,"java.lang.Comparable,java.lang.Object",66,23
