package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2027,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2028,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2029,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2030,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2031,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2032,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2033,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2034,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2035,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2036,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2037,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2038,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2039,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2040,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2041,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2045,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2047,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2048,23
org.jfree.data.general,DatasetUtils,findMaximumStackedRangeValue,org.jfree.data.category.CategoryDataset,2050,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,76,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,77,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,78,23
org.jfree.data.category,DefaultCategoryDataset,getRowCount,,89,23
org.jfree.data.category,DefaultCategoryDataset,getColumnCount,,101,23
org.jfree.data.category,DefaultCategoryDataset,getValue,"int,int",117,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",232,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",233,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",234,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",246,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",247,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,74,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,75,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,82,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,83,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,84,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,85,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,86,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,87,23
