package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,org.jfree.data.xy.TableXYDataset,2062,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2076,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2077,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2078,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2079,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2080,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2081,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2082,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2083,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2084,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2085,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2086,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2087,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2090,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2094,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2095,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2097,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2098,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2101,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.xy.TableXYDataset,double",2102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,231,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,232,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,23
org.jfree.data,Range,Range,"double,double",89,23
org.jfree.data,Range,Range,"double,double",90,23
org.jfree.data,Range,Range,"double,double",95,23
org.jfree.data,Range,Range,"double,double",96,23
org.jfree.data,Range,Range,"double,double",97,23
org.jfree.data,Range,getLowerBound,,105,23
org.jfree.data,Range,getUpperBound,,114,23
org.jfree.data.general,Series,Series,java.lang.Comparable,90,23
org.jfree.data.general,Series,Series,java.lang.Comparable,91,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",99,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",100,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",101,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",102,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",103,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",104,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",105,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",106,23
org.jfree.data.general,Series,Series,"java.lang.Comparable,java.lang.String",107,23
org.jfree.data.general,Series,addChangeListener,org.jfree.data.general.SeriesChangeListener,295,23
org.jfree.data.general,Series,addChangeListener,org.jfree.data.general.SeriesChangeListener,296,23
org.jfree.data.general,Series,fireSeriesChanged,,313,23
org.jfree.data.general,Series,fireSeriesChanged,,314,23
org.jfree.data.general,Series,fireSeriesChanged,,316,23
org.jfree.data.general,Series,notifyListeners,org.jfree.data.general.SeriesChangeEvent,326,23
org.jfree.data.general,Series,notifyListeners,org.jfree.data.general.SeriesChangeEvent,327,23
org.jfree.data.general,Series,notifyListeners,org.jfree.data.general.SeriesChangeEvent,334,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",132,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",74,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",133,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",134,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",135,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",136,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",137,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",138,23
org.jfree.data.xy,XYSeries,XYSeries,"java.lang.Comparable,boolean,boolean",139,23
