package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2187,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2188,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2189,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2191,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2192,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2194,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2195,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2196,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2197,23
org.jfree.data.general,DatasetUtils,findYValue,"org.jfree.data.xy.XYDataset,int,double",2198,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2224,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2225,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2226,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2227,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2229,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2230,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2231,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2233,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2236,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2269,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2300,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2301,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2302,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2304,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2305,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2306,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2307,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2309,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2310,23
org.jfree.data.general,DatasetUtils,findItemIndicesForX,"org.jfree.data.xy.XYDataset,int,double",2313,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,23
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,231,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,232,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
