package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",642,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",643,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",644,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",645,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",647,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",648,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",649,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",650,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",651,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",652,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",653,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",654,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",655,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",656,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",657,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",659,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",660,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",661,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",663,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",664,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",665,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",669,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",671,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",672,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",673,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",674,23
org.jfree.data.general,DatasetUtils,iterateDomainBounds,"org.jfree.data.xy.XYDataset,boolean",675,23
