package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1374,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1375,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1376,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1378,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1379,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1382,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1405,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1428,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1430,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1431,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1432,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1433,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1434,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1435,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1436,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1437,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1438,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1439,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1440,23
org.jfree.data.general,DatasetUtils,iterateToFindRangeBounds,"org.jfree.data.xy.XYDataset,java.util.List,org.jfree.data.Range,boolean",1441,23
