package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,100,23
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,101,23
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,102,23
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,114,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double",202,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",224,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",225,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",228,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",229,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",230,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",231,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",243,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",244,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",245,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",261,23
org.jfree.data.general,DatasetUtils,createConsolidatedPieDataset,"org.jfree.data.general.PieDataset,java.lang.Comparable,double,int",264,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,23
org.jfree.data,DefaultKeyedValues,getItemCount,,88,23
org.jfree.data,DefaultKeyedValues,getKeys,,146,23
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,23
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,23
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,23
org.jfree.data.general,DefaultPieDataset,getItemCount,,111,23
org.jfree.data.general,DefaultPieDataset,getKeys,,122,23
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,23
