package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1927,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1928,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1929,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1932,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1933,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1934,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1935,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1939,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1940,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1941,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1943,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1944,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1945,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1946,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1947,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1948,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1949,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1950,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1951,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1952,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1953,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1954,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1957,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1964,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1965,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1966,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1969,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1970,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1971,23
org.jfree.data.general,DatasetUtils,findStackedRangeBounds,"org.jfree.data.category.CategoryDataset,org.jfree.data.KeyToGroupMap",1975,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,23
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,23
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,23
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,76,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,77,23
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,78,23
org.jfree.data.category,DefaultCategoryDataset,getRowCount,,89,23
org.jfree.data.category,DefaultCategoryDataset,getColumnCount,,101,23
org.jfree.data.category,DefaultCategoryDataset,getValue,"int,int",117,23
org.jfree.data.category,DefaultCategoryDataset,getRowKey,int,133,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",232,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",233,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",234,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",246,23
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",247,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,23
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,74,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,75,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,82,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,83,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,84,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,85,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,86,23
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,boolean,87,23
org.jfree.data,DefaultKeyedValues2D,getRowCount,,98,23
org.jfree.data,DefaultKeyedValues2D,getColumnCount,,110,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",125,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",126,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",127,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",128,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",131,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",132,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",133,23
org.jfree.data,DefaultKeyedValues2D,getValue,"int,int",136,23
org.jfree.data,DefaultKeyedValues2D,getRowKey,int,151,23
org.jfree.data,DefaultKeyedValues2D,getRowIndex,java.lang.Comparable,166,23
org.jfree.data,DefaultKeyedValues2D,getRowIndex,java.lang.Comparable,167,23
org.jfree.data,DefaultKeyedValues2D,getRowIndex,java.lang.Comparable,170,23
org.jfree.data,DefaultKeyedValues2D,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",281,23
org.jfree.data,DefaultKeyedValues2D,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",282,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",297,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",299,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",300,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",303,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",304,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",310,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",311,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",314,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",316,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",317,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",318,23
org.jfree.data,DefaultKeyedValues2D,setValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",320,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,23
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,23
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,23
org.jfree.data,DefaultKeyedValues,getValue,int,102,23
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,131,23
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,132,23
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,133,23
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,134,23
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,136,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",210,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",211,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",212,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",217,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",218,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",219,23
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",221,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,23
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,23
org.jfree.data,Range,Range,"double,double",89,23
org.jfree.data,Range,Range,"double,double",90,23
org.jfree.data,Range,Range,"double,double",95,23
org.jfree.data,Range,Range,"double,double",96,23
org.jfree.data,Range,Range,"double,double",97,23
org.jfree.data,Range,getLowerBound,,105,23
org.jfree.data,Range,getUpperBound,,114,23
