package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,24
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,24
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,24
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,24
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,24
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,24
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,24
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,24
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,24
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,24
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,24
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,24
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,24
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,24
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,24
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,24
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,24
