package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,25
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,25
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,25
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,25
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,25
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,25
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,25
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,25
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,25
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,25
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,25
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,25
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,25
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,25
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,25
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,25
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,25
