package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,27
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,27
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,27
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,27
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,27
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,27
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,27
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,27
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,27
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,27
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,27
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,27
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,27
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,27
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,27
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",56,27
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,27
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,27
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,27
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,27
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,27
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,27
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,27
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,27
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,27
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,27
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,159,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",234,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",235,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",240,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",241,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",242,27
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",244,27
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,27
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,27
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,27
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,27
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,27
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,27
org.jfree.data.general,DefaultPieDataset,getIndex,java.lang.Comparable,153,27
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",198,27
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",199,27
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",200,27
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,27
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",214,27
