package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,28
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,28
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,28
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,28
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,28
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,28
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,28
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,28
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,28
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,28
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,28
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,28
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,28
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,28
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,28
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,28
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,28
