package,class,method,parameter,line,bug
org.jfree.data.time,RegularTimePeriod,RegularTimePeriod,,72,29
org.jfree.data.time,Year,Year,int,115,29
org.jfree.data.time,Year,Year,int,116,29
org.jfree.data.time,Year,Year,int,120,29
org.jfree.data.time,Year,Year,int,121,29
org.jfree.data.time,Year,Year,int,122,29
org.jfree.data.time,Year,peg,java.util.Calendar,202,29
org.jfree.data.time,Year,peg,java.util.Calendar,203,29
org.jfree.data.time,Year,peg,java.util.Calendar,204,29
org.jfree.data.time,Year,getFirstMillisecond,java.util.Calendar,263,29
org.jfree.data.time,Year,getFirstMillisecond,java.util.Calendar,264,29
org.jfree.data.time,Year,getFirstMillisecond,java.util.Calendar,265,29
org.jfree.data.time,Year,getLastMillisecond,java.util.Calendar,281,29
org.jfree.data.time,Year,getLastMillisecond,java.util.Calendar,282,29
org.jfree.data.time,Year,getLastMillisecond,java.util.Calendar,283,29
org.jfree.data.time,Year,equals,java.lang.Object,299,29
org.jfree.data.time,Year,equals,java.lang.Object,302,29
org.jfree.data.time,Year,equals,java.lang.Object,305,29
org.jfree.data.time,Year,equals,java.lang.Object,306,29
org.jfree.data.time,Week,Week,"int,int",131,29
org.jfree.data.time,Week,Week,"int,int",132,29
org.jfree.data.time,Week,Week,"int,int",136,29
org.jfree.data.time,Week,Week,"int,int",137,29
org.jfree.data.time,Week,Week,"int,int",138,29
org.jfree.data.time,Week,Week,"int,int",139,29
org.jfree.data.time,Week,getYear,,218,29
org.jfree.data.time,Week,getWeek,,236,29
org.jfree.data.time,Week,peg,java.util.Calendar,279,29
org.jfree.data.time,Week,peg,java.util.Calendar,280,29
org.jfree.data.time,Week,peg,java.util.Calendar,281,29
org.jfree.data.time,Week,next,,328,29
org.jfree.data.time,Week,next,,329,29
org.jfree.data.time,Week,next,,332,29
org.jfree.data.time,Week,next,,333,29
org.jfree.data.time,Week,next,,334,29
org.jfree.data.time,Week,next,,335,29
org.jfree.data.time,Week,next,,336,29
org.jfree.data.time,Week,next,,340,29
org.jfree.data.time,Week,next,,344,29
org.jfree.data.time,Week,next,,348,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,375,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,376,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,377,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,378,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,379,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,380,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,381,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,382,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,383,29
org.jfree.data.time,Week,getFirstMillisecond,java.util.Calendar,384,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,400,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,401,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,402,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,403,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,404,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,405,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,406,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,407,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,408,29
org.jfree.data.time,Week,getLastMillisecond,java.util.Calendar,409,29
