package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,3
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,3
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,3
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,3
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,3
