package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,3
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,3
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,3
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,3
org.jfree.data.general,AbstractDataset,removeChangeListener,org.jfree.data.general.DatasetChangeListener,186,3
org.jfree.data.general,AbstractDataset,removeChangeListener,org.jfree.data.general.DatasetChangeListener,187,3
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,3
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,3
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,3
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,3
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,3
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,3
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,3
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,3
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,3
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,3
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,3
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,3
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,3
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",234,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",235,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",240,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",241,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",242,3
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",244,3
