package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,4
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,4
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,4
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,4
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,4
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,4
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,4
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,4
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,4
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,4
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,4
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,4
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,4
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,4
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,4
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,4
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,4
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,4
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,4
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,4
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,4
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,4
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,4
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,4
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,4
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,4
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,4
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,4
