package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,6
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,6
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,6
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,6
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,6
