package,class,method,parameter,line,bug
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,6
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"double,double,double,double",84,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"double,double,double,double",85,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",98,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",99,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",102,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",103,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",104,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",105,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",106,6
org.jfree.chart.ui,RectangleInsets,RectangleInsets,"org.jfree.chart.util.UnitType,double,double,double,double",107,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,164,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,167,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,170,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,171,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,174,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,177,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,180,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,183,6
org.jfree.chart.ui,RectangleInsets,equals,java.lang.Object,186,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,,149,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,,155,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",196,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",198,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",199,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",200,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",201,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",202,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",203,6
org.jfree.chart.plot,DefaultDrawingSupplier,DefaultDrawingSupplier,"java.awt.Paint[],java.awt.Paint[],java.awt.Paint[],java.awt.Stroke[],java.awt.Stroke[],java.awt.Shape[]",204,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,353,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,356,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,359,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,360,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,363,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,366,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,370,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,373,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,376,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,379,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,383,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,386,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,389,6
org.jfree.chart.plot,DefaultDrawingSupplier,equals,java.lang.Object,392,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",404,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",407,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",410,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",413,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",414,6
org.jfree.chart.plot,DefaultDrawingSupplier,equalShapes,"java.awt.Shape[],java.awt.Shape[]",418,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,429,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,431,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,432,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,433,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,434,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,437,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,438,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,439,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,440,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,443,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,444,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,445,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,446,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,449,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,450,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,451,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,452,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,455,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,456,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,457,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,458,6
org.jfree.chart.plot,DefaultDrawingSupplier,writeObject,java.io.ObjectOutputStream,461,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,473,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,475,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,476,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,477,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,478,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,481,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,482,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,483,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,484,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,487,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,488,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,489,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,490,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,493,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,494,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,495,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,496,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,499,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,500,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,501,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,502,6
org.jfree.chart.plot,DefaultDrawingSupplier,readObject,java.io.ObjectInputStream,505,6
org.jfree.chart.plot,Plot,Plot,,226,6
org.jfree.chart.plot,Plot,Plot,,197,6
org.jfree.chart.plot,Plot,Plot,,200,6
org.jfree.chart.plot,Plot,Plot,,227,6
org.jfree.chart.plot,Plot,Plot,,228,6
org.jfree.chart.plot,Plot,Plot,,229,6
org.jfree.chart.plot,Plot,Plot,,230,6
org.jfree.chart.plot,Plot,Plot,,231,6
org.jfree.chart.plot,Plot,Plot,,232,6
org.jfree.chart.plot,Plot,Plot,,233,6
org.jfree.chart.plot,Plot,Plot,,234,6
org.jfree.chart.plot,Plot,Plot,,235,6
org.jfree.chart.plot,Plot,Plot,,236,6
org.jfree.chart.plot,Plot,Plot,,238,6
org.jfree.chart.plot,Plot,Plot,,239,6
org.jfree.chart.plot,Plot,Plot,,240,6
org.jfree.chart.plot,Plot,Plot,,242,6
org.jfree.chart.plot,Plot,Plot,,244,6
org.jfree.chart.plot,Plot,Plot,,245,6
org.jfree.chart.plot,Plot,Plot,,246,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1269,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1272,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1275,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1276,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1279,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1284,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1288,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1291,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1294,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1297,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1300,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1303,6
org.jfree.chart.plot,Plot,equals,java.lang.Object,1307,6
