package,class,method,parameter,line,bug
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,100,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,101,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,102,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,103,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,104,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,105,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,106,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,107,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,108,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,109,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,110,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,112,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,113,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,116,6
org.jfree.data.general,DatasetUtils,calculatePieDatasetTotal,org.jfree.data.general.PieDataset,117,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,471,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,475,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,476,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,480,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,481,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,482,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,483,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,484,6
org.jfree.data.general,DatasetUtils,isEmptyOrNull,org.jfree.data.general.PieDataset,485,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,6
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,6
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,6
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,6
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,6
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,6
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,6
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,6
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,6
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,6
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,6
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,6
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,6
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,6
