package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,7
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,7
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,7
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,7
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,7
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,7
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,7
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,7
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,7
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,7
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,7
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,7
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,7
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,75,7
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,76,7
org.jfree.data.category,DefaultCategoryDataset,DefaultCategoryDataset,,77,7
org.jfree.data.category,DefaultCategoryDataset,getRowCount,,88,7
org.jfree.data.category,DefaultCategoryDataset,getValue,"int,int",116,7
org.jfree.data.category,DefaultCategoryDataset,getRowKey,int,132,7
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",232,7
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",233,7
org.jfree.data.category,DefaultCategoryDataset,addValue,"java.lang.Number,java.lang.Comparable,java.lang.Comparable",234,7
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",247,7
org.jfree.data.category,DefaultCategoryDataset,addValue,"double,java.lang.Comparable,java.lang.Comparable",248,7
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,7
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,7
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,7
org.jfree.data,DefaultKeyedValues2D,DefaultKeyedValues2D,,74,7
