package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,8
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,8
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,8
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,8
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,8
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,8
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,8
org.jfree.data.general,AbstractDataset,removeChangeListener,org.jfree.data.general.DatasetChangeListener,186,8
org.jfree.data.general,AbstractDataset,removeChangeListener,org.jfree.data.general.DatasetChangeListener,187,8
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,8
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,8
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,8
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,8
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,8
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,8
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,8
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,8
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,8
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,8
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,8
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,8
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,8
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,8
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,8
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,8
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,8
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,8
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,8
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",234,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",235,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",240,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",241,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",242,8
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",244,8
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,8
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,8
