package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,9
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,9
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,75,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,76,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,77,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,78,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,79,9
org.jfree.data,DefaultKeyedValues,getItemCount,,88,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,9
org.jfree.data.general,DefaultPieDataset,getItemCount,,111,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,9
org.jfree.data.general,DefaultPieDataset,clear,,272,9
org.jfree.data.general,DefaultPieDataset,clear,,276,9
