package,class,method,parameter,line,bug
org.jfree.data.general,AbstractDataset,AbstractDataset,,102,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,103,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,104,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,105,9
org.jfree.data.general,AbstractDataset,AbstractDataset,,106,9
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,173,9
org.jfree.data.general,AbstractDataset,addChangeListener,org.jfree.data.general.DatasetChangeListener,174,9
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,214,9
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,215,9
org.jfree.data.general,AbstractDataset,fireDatasetChanged,,217,9
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,229,9
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,230,9
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,231,9
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,232,9
org.jfree.data.general,AbstractDataset,notifyListeners,org.jfree.data.general.DatasetChangeEvent,236,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,65,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,66,9
org.jfree.data.general,DatasetGroup,DatasetGroup,,67,9
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",55,9
org.jfree.chart.util,Args,nullNotPermitted,"java.lang.Object,java.lang.String",58,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,98,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,99,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,100,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,101,9
org.jfree.data,DefaultKeyedValues,DefaultKeyedValues,,102,9
org.jfree.data,DefaultKeyedValues,getItemCount,,111,9
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,154,9
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,155,9
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,156,9
org.jfree.data,DefaultKeyedValues,getIndex,java.lang.Comparable,157,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",233,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",234,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",235,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",240,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",241,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",242,9
org.jfree.data,DefaultKeyedValues,setValue,"java.lang.Comparable,java.lang.Number",244,9
org.jfree.data,DefaultKeyedValues,clear,,345,9
org.jfree.data,DefaultKeyedValues,clear,,346,9
org.jfree.data,DefaultKeyedValues,clear,,347,9
org.jfree.data,DefaultKeyedValues,clear,,348,9
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",71,9
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",72,9
org.jfree.data.general,DatasetChangeEvent,DatasetChangeEvent,"java.lang.Object,org.jfree.data.general.Dataset",73,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,86,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,87,9
org.jfree.data.general,DefaultPieDataset,DefaultPieDataset,,88,9
org.jfree.data.general,DefaultPieDataset,getItemCount,,111,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",198,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",199,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,java.lang.Number",200,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",213,9
org.jfree.data.general,DefaultPieDataset,setValue,"java.lang.Comparable,double",214,9
org.jfree.data.general,DefaultPieDataset,clear,,272,9
org.jfree.data.general,DefaultPieDataset,clear,,273,9
org.jfree.data.general,DefaultPieDataset,clear,,274,9
org.jfree.data.general,DefaultPieDataset,clear,,276,9
