bug,class,method,line
13,org.apache.commons.lang3.SerializationUtils,clone,77
13,org.apache.commons.lang3.SerializationUtils,clone,80
13,org.apache.commons.lang3.SerializationUtils,clone,81
13,org.apache.commons.lang3.SerializationUtils,clone,83
13,org.apache.commons.lang3.SerializationUtils,clone,86
13,org.apache.commons.lang3.SerializationUtils,clone,92
13,org.apache.commons.lang3.SerializationUtils,clone,100
13,org.apache.commons.lang3.SerializationUtils,clone,101
13,org.apache.commons.lang3.SerializationUtils,clone,105
13,org.apache.commons.lang3.SerializationUtils,serialize,158
13,org.apache.commons.lang3.SerializationUtils,serialize,159
13,org.apache.commons.lang3.SerializationUtils,serialize,160
13,org.apache.commons.lang3.SerializationUtils,serialize,127
13,org.apache.commons.lang3.SerializationUtils,serialize,130
13,org.apache.commons.lang3.SerializationUtils,serialize,133
13,org.apache.commons.lang3.SerializationUtils,serialize,134
13,org.apache.commons.lang3.SerializationUtils,serialize,140
13,org.apache.commons.lang3.SerializationUtils,serialize,141
13,org.apache.commons.lang3.SerializationUtils,serialize,145
13,org.apache.commons.lang3.SerializationUtils,serialize,147
13,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,<init>,245
13,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,<init>,246
13,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,<init>,247
13,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,resolveClass,259
13,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,resolveClass,261
