bug,class,method,line
13,org.apache.commons.lang3.SerializationUtils,clone,82
13,org.apache.commons.lang3.SerializationUtils,clone,83
13,org.apache.commons.lang3.SerializationUtils,deserialize,158
13,org.apache.commons.lang3.SerializationUtils,deserialize,161
13,org.apache.commons.lang3.SerializationUtils,deserialize,164
13,org.apache.commons.lang3.SerializationUtils,deserialize,165
13,org.apache.commons.lang3.SerializationUtils,deserialize,173
13,org.apache.commons.lang3.SerializationUtils,deserialize,174
13,org.apache.commons.lang3.SerializationUtils,deserialize,178
13,org.apache.commons.lang3.SerializationUtils,deserialize,191
13,org.apache.commons.lang3.SerializationUtils,deserialize,194
13,org.apache.commons.lang3.SerializationUtils,deserialize,195
13,org.apache.commons.lang3.SerializationUtils,serialize,135
13,org.apache.commons.lang3.SerializationUtils,serialize,136
13,org.apache.commons.lang3.SerializationUtils,serialize,137
13,org.apache.commons.lang3.SerializationUtils,serialize,104
13,org.apache.commons.lang3.SerializationUtils,serialize,107
13,org.apache.commons.lang3.SerializationUtils,serialize,110
13,org.apache.commons.lang3.SerializationUtils,serialize,111
13,org.apache.commons.lang3.SerializationUtils,serialize,117
13,org.apache.commons.lang3.SerializationUtils,serialize,118
13,org.apache.commons.lang3.SerializationUtils,serialize,122
13,org.apache.commons.lang3.SerializationUtils,serialize,124
