bug,class,method,line
46,org.apache.commons.lang.StringEscapeUtils,escapeJava,81
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,172
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,175
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,179
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,180
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,181
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,184
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,186
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,188
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,190
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,221
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,237
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,242
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,149
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,153
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,154
46,org.apache.commons.lang.StringEscapeUtils,escapeJavaStyleString,155
