bug,class,method,line
46,org.apache.commons.lang.StringEscapeUtils,escapeSql,681
46,org.apache.commons.lang.StringEscapeUtils,escapeSql,682
46,org.apache.commons.lang.StringEscapeUtils,escapeSql,684
46,org.apache.commons.lang.StringUtils,isEmpty,189
46,org.apache.commons.lang.StringUtils,replace,3207
46,org.apache.commons.lang.StringUtils,replace,3239
46,org.apache.commons.lang.StringUtils,replace,3240
46,org.apache.commons.lang.StringUtils,replace,3242
46,org.apache.commons.lang.StringUtils,replace,3243
46,org.apache.commons.lang.StringUtils,replace,3244
46,org.apache.commons.lang.StringUtils,replace,3247
46,org.apache.commons.lang.StringUtils,replace,3248
46,org.apache.commons.lang.StringUtils,replace,3249
46,org.apache.commons.lang.StringUtils,replace,3250
46,org.apache.commons.lang.StringUtils,replace,3251
46,org.apache.commons.lang.StringUtils,replace,3252
46,org.apache.commons.lang.StringUtils,replace,3253
46,org.apache.commons.lang.StringUtils,replace,3254
46,org.apache.commons.lang.StringUtils,replace,3255
46,org.apache.commons.lang.StringUtils,replace,3258
46,org.apache.commons.lang.StringUtils,replace,3260
46,org.apache.commons.lang.StringUtils,replace,3261
