bug,class,method,line
51,org.apache.commons.lang.BooleanUtils,toIntegerObject,386
51,org.apache.commons.lang.math.NumberUtils,<clinit>,79
51,org.apache.commons.lang.math.NumberUtils,<clinit>,81
51,org.apache.commons.lang.math.NumberUtils,<clinit>,83
51,org.apache.commons.lang.math.NumberUtils,<clinit>,85
51,org.apache.commons.lang.math.NumberUtils,<clinit>,87
51,org.apache.commons.lang.math.NumberUtils,<clinit>,89
51,org.apache.commons.lang.math.NumberUtils,<clinit>,91
51,org.apache.commons.lang.math.NumberUtils,<clinit>,93
51,org.apache.commons.lang.math.NumberUtils,<clinit>,95
51,org.apache.commons.lang.math.NumberUtils,<clinit>,97
51,org.apache.commons.lang.math.NumberUtils,<clinit>,99
51,org.apache.commons.lang.math.NumberUtils,<clinit>,101
51,org.apache.commons.lang.math.NumberUtils,<clinit>,103
51,org.apache.commons.lang.math.NumberUtils,<clinit>,105
51,org.apache.commons.lang.math.NumberUtils,<clinit>,107
51,org.apache.commons.lang.math.NumberUtils,<clinit>,109
51,org.apache.commons.lang.math.NumberUtils,<clinit>,111
51,org.apache.commons.lang.math.NumberUtils,<clinit>,113
