bug,class,method,line
53,org.apache.commons.lang.time.DateUtils,<clinit>,44
53,org.apache.commons.lang.time.DateUtils,<clinit>,72
53,org.apache.commons.lang.time.DateUtils,iterator,804
53,org.apache.commons.lang.time.DateUtils,iterator,807
53,org.apache.commons.lang.time.DateUtils,iterator,808
53,org.apache.commons.lang.time.DateUtils,iterator,809
53,org.apache.commons.lang.time.DateUtils,iterator,810
53,org.apache.commons.lang.time.DateUtils,iterator,811
53,org.apache.commons.lang.time.DateUtils,iterator,815
53,org.apache.commons.lang.time.DateUtils,iterator,817
53,org.apache.commons.lang.time.DateUtils,iterator,818
53,org.apache.commons.lang.time.DateUtils,iterator,819
53,org.apache.commons.lang.time.DateUtils,iterator,821
53,org.apache.commons.lang.time.DateUtils,iterator,822
53,org.apache.commons.lang.time.DateUtils,iterator,823
53,org.apache.commons.lang.time.DateUtils,iterator,854
53,org.apache.commons.lang.time.DateUtils,iterator,857
53,org.apache.commons.lang.time.DateUtils,iterator,860
53,org.apache.commons.lang.time.DateUtils,iterator,863
53,org.apache.commons.lang.time.DateUtils,iterator,866
53,org.apache.commons.lang.time.DateUtils,iterator,867
53,org.apache.commons.lang.time.DateUtils,iterator,869
53,org.apache.commons.lang.time.DateUtils,iterator,870
53,org.apache.commons.lang.time.DateUtils,iterator,872
53,org.apache.commons.lang.time.DateUtils,iterator,771
53,org.apache.commons.lang.time.DateUtils,iterator,774
53,org.apache.commons.lang.time.DateUtils,iterator,775
53,org.apache.commons.lang.time.DateUtils,iterator,776
53,org.apache.commons.lang.time.DateUtils,modify,620
53,org.apache.commons.lang.time.DateUtils,modify,624
53,org.apache.commons.lang.time.DateUtils,modify,634
53,org.apache.commons.lang.time.DateUtils,modify,635
53,org.apache.commons.lang.time.DateUtils,modify,636
53,org.apache.commons.lang.time.DateUtils,modify,639
53,org.apache.commons.lang.time.DateUtils,modify,640
53,org.apache.commons.lang.time.DateUtils,modify,641
53,org.apache.commons.lang.time.DateUtils,modify,642
53,org.apache.commons.lang.time.DateUtils,modify,648
53,org.apache.commons.lang.time.DateUtils,modify,649
53,org.apache.commons.lang.time.DateUtils,modify,650
53,org.apache.commons.lang.time.DateUtils,modify,651
53,org.apache.commons.lang.time.DateUtils,modify,657
53,org.apache.commons.lang.time.DateUtils,modify,658
53,org.apache.commons.lang.time.DateUtils,modify,659
53,org.apache.commons.lang.time.DateUtils,modify,663
53,org.apache.commons.lang.time.DateUtils,modify,664
53,org.apache.commons.lang.time.DateUtils,modify,665
53,org.apache.commons.lang.time.DateUtils,modify,669
53,org.apache.commons.lang.time.DateUtils,modify,670
53,org.apache.commons.lang.time.DateUtils,modify,671
53,org.apache.commons.lang.time.DateUtils,modify,672
53,org.apache.commons.lang.time.DateUtils,modify,674
53,org.apache.commons.lang.time.DateUtils,modify,691
53,org.apache.commons.lang.time.DateUtils,modify,695
53,org.apache.commons.lang.time.DateUtils,modify,696
53,org.apache.commons.lang.time.DateUtils,modify,698
53,org.apache.commons.lang.time.DateUtils,modify,728
53,org.apache.commons.lang.time.DateUtils,modify,729
53,org.apache.commons.lang.time.DateUtils,modify,730
53,org.apache.commons.lang.time.DateUtils,modify,732
53,org.apache.commons.lang.time.DateUtils,modify,734
53,org.apache.commons.lang.time.DateUtils,modify,737
53,org.apache.commons.lang.time.DateUtils,modify,738
53,org.apache.commons.lang.time.DateUtils,truncate,569
53,org.apache.commons.lang.time.DateUtils,truncate,572
53,org.apache.commons.lang.time.DateUtils,truncate,573
53,org.apache.commons.lang.time.DateUtils,truncate,574
53,org.apache.commons.lang.time.DateUtils$DateIterator,<init>,921
53,org.apache.commons.lang.time.DateUtils$DateIterator,<init>,922
53,org.apache.commons.lang.time.DateUtils$DateIterator,<init>,923
53,org.apache.commons.lang.time.DateUtils$DateIterator,<init>,924
53,org.apache.commons.lang.time.DateUtils$DateIterator,<init>,925
53,org.apache.commons.lang.time.DateUtils$DateIterator,hasNext,933
53,org.apache.commons.lang.time.DateUtils$DateIterator,next,942
53,org.apache.commons.lang.time.DateUtils$DateIterator,next,945
53,org.apache.commons.lang.time.DateUtils$DateIterator,next,946
