bug,class,method,line
53,org.apache.commons.lang.time.DateUtils,<clinit>,44
53,org.apache.commons.lang.time.DateUtils,<clinit>,72
53,org.apache.commons.lang.time.DateUtils,modify,620
53,org.apache.commons.lang.time.DateUtils,modify,621
53,org.apache.commons.lang.time.DateUtils,modify,624
53,org.apache.commons.lang.time.DateUtils,modify,634
53,org.apache.commons.lang.time.DateUtils,modify,635
53,org.apache.commons.lang.time.DateUtils,modify,636
53,org.apache.commons.lang.time.DateUtils,modify,639
53,org.apache.commons.lang.time.DateUtils,modify,640
53,org.apache.commons.lang.time.DateUtils,modify,641
53,org.apache.commons.lang.time.DateUtils,modify,642
53,org.apache.commons.lang.time.DateUtils,modify,643
53,org.apache.commons.lang.time.DateUtils,modify,648
53,org.apache.commons.lang.time.DateUtils,modify,649
53,org.apache.commons.lang.time.DateUtils,modify,650
53,org.apache.commons.lang.time.DateUtils,modify,651
53,org.apache.commons.lang.time.DateUtils,modify,652
53,org.apache.commons.lang.time.DateUtils,modify,657
53,org.apache.commons.lang.time.DateUtils,modify,658
53,org.apache.commons.lang.time.DateUtils,modify,659
53,org.apache.commons.lang.time.DateUtils,modify,663
53,org.apache.commons.lang.time.DateUtils,modify,664
53,org.apache.commons.lang.time.DateUtils,modify,665
53,org.apache.commons.lang.time.DateUtils,modify,669
53,org.apache.commons.lang.time.DateUtils,modify,670
53,org.apache.commons.lang.time.DateUtils,modify,671
53,org.apache.commons.lang.time.DateUtils,modify,672
53,org.apache.commons.lang.time.DateUtils,modify,674
53,org.apache.commons.lang.time.DateUtils,modify,691
53,org.apache.commons.lang.time.DateUtils,modify,695
53,org.apache.commons.lang.time.DateUtils,modify,696
53,org.apache.commons.lang.time.DateUtils,modify,698
53,org.apache.commons.lang.time.DateUtils,modify,700
53,org.apache.commons.lang.time.DateUtils,modify,704
53,org.apache.commons.lang.time.DateUtils,modify,707
53,org.apache.commons.lang.time.DateUtils,modify,708
53,org.apache.commons.lang.time.DateUtils,modify,711
53,org.apache.commons.lang.time.DateUtils,modify,712
53,org.apache.commons.lang.time.DateUtils,modify,716
53,org.apache.commons.lang.time.DateUtils,modify,719
53,org.apache.commons.lang.time.DateUtils,modify,720
53,org.apache.commons.lang.time.DateUtils,modify,721
53,org.apache.commons.lang.time.DateUtils,modify,723
53,org.apache.commons.lang.time.DateUtils,modify,724
53,org.apache.commons.lang.time.DateUtils,modify,728
53,org.apache.commons.lang.time.DateUtils,modify,729
53,org.apache.commons.lang.time.DateUtils,modify,730
53,org.apache.commons.lang.time.DateUtils,modify,732
53,org.apache.commons.lang.time.DateUtils,modify,734
53,org.apache.commons.lang.time.DateUtils,modify,737
53,org.apache.commons.lang.time.DateUtils,modify,738
53,org.apache.commons.lang.time.DateUtils,truncate,598
53,org.apache.commons.lang.time.DateUtils,truncate,599
53,org.apache.commons.lang.time.DateUtils,truncate,601
53,org.apache.commons.lang.time.DateUtils,truncate,602
53,org.apache.commons.lang.time.DateUtils,truncate,603
53,org.apache.commons.lang.time.DateUtils,truncate,604
53,org.apache.commons.lang.time.DateUtils,truncate,606
53,org.apache.commons.lang.time.DateUtils,truncate,569
53,org.apache.commons.lang.time.DateUtils,truncate,570
53,org.apache.commons.lang.time.DateUtils,truncate,572
53,org.apache.commons.lang.time.DateUtils,truncate,573
53,org.apache.commons.lang.time.DateUtils,truncate,574
53,org.apache.commons.lang.time.DateUtils,truncate,543
53,org.apache.commons.lang.time.DateUtils,truncate,544
53,org.apache.commons.lang.time.DateUtils,truncate,546
53,org.apache.commons.lang.time.DateUtils,truncate,547
53,org.apache.commons.lang.time.DateUtils,truncate,548
53,org.apache.commons.lang.time.DateUtils,truncate,549
