bug,class,method,line
53,org.apache.commons.lang.time.DateUtils,<clinit>,44
53,org.apache.commons.lang.time.DateUtils,<clinit>,72
53,org.apache.commons.lang.time.DateUtils,iterator,848
53,org.apache.commons.lang.time.DateUtils,iterator,849
53,org.apache.commons.lang.time.DateUtils,iterator,851
53,org.apache.commons.lang.time.DateUtils,iterator,853
53,org.apache.commons.lang.time.DateUtils,iterator,856
53,org.apache.commons.lang.time.DateUtils,iterator,757
53,org.apache.commons.lang.time.DateUtils,iterator,758
53,org.apache.commons.lang.time.DateUtils,iterator,760
53,org.apache.commons.lang.time.DateUtils,iterator,761
53,org.apache.commons.lang.time.DateUtils,iterator,762
53,org.apache.commons.lang.time.DateUtils,iterator,763
53,org.apache.commons.lang.time.DateUtils,iterator,764
53,org.apache.commons.lang.time.DateUtils,iterator,805
53,org.apache.commons.lang.time.DateUtils,iterator,724
53,org.apache.commons.lang.time.DateUtils,iterator,725
