bug,class,method,line
53,org.apache.commons.lang.SystemUtils,<clinit>,86
53,org.apache.commons.lang.SystemUtils,<clinit>,104
53,org.apache.commons.lang.SystemUtils,<clinit>,121
53,org.apache.commons.lang.SystemUtils,<clinit>,137
53,org.apache.commons.lang.SystemUtils,<clinit>,153
53,org.apache.commons.lang.SystemUtils,<clinit>,174
53,org.apache.commons.lang.SystemUtils,<clinit>,190
53,org.apache.commons.lang.SystemUtils,<clinit>,206
53,org.apache.commons.lang.SystemUtils,<clinit>,223
53,org.apache.commons.lang.SystemUtils,<clinit>,240
53,org.apache.commons.lang.SystemUtils,<clinit>,257
53,org.apache.commons.lang.SystemUtils,<clinit>,274
53,org.apache.commons.lang.SystemUtils,<clinit>,290
53,org.apache.commons.lang.SystemUtils,<clinit>,306
53,org.apache.commons.lang.SystemUtils,<clinit>,323
53,org.apache.commons.lang.SystemUtils,<clinit>,341
53,org.apache.commons.lang.SystemUtils,<clinit>,359
53,org.apache.commons.lang.SystemUtils,<clinit>,376
53,org.apache.commons.lang.SystemUtils,<clinit>,393
53,org.apache.commons.lang.SystemUtils,<clinit>,410
53,org.apache.commons.lang.SystemUtils,<clinit>,427
53,org.apache.commons.lang.SystemUtils,<clinit>,444
53,org.apache.commons.lang.SystemUtils,<clinit>,460
53,org.apache.commons.lang.SystemUtils,<clinit>,476
53,org.apache.commons.lang.SystemUtils,<clinit>,494
53,org.apache.commons.lang.SystemUtils,<clinit>,511
53,org.apache.commons.lang.SystemUtils,<clinit>,528
53,org.apache.commons.lang.SystemUtils,<clinit>,545
53,org.apache.commons.lang.SystemUtils,<clinit>,562
53,org.apache.commons.lang.SystemUtils,<clinit>,579
53,org.apache.commons.lang.SystemUtils,<clinit>,596
53,org.apache.commons.lang.SystemUtils,<clinit>,613
53,org.apache.commons.lang.SystemUtils,<clinit>,629
53,org.apache.commons.lang.SystemUtils,<clinit>,645
53,org.apache.commons.lang.SystemUtils,<clinit>,661
53,org.apache.commons.lang.SystemUtils,<clinit>,678
53,org.apache.commons.lang.SystemUtils,<clinit>,697
53,org.apache.commons.lang.SystemUtils,<clinit>,716
53,org.apache.commons.lang.SystemUtils,<clinit>,732
53,org.apache.commons.lang.SystemUtils,<clinit>,750
53,org.apache.commons.lang.SystemUtils,<clinit>,766
53,org.apache.commons.lang.SystemUtils,<clinit>,783
53,org.apache.commons.lang.SystemUtils,<clinit>,797
53,org.apache.commons.lang.SystemUtils,<clinit>,817
53,org.apache.commons.lang.SystemUtils,<clinit>,832
53,org.apache.commons.lang.SystemUtils,<clinit>,845
53,org.apache.commons.lang.SystemUtils,<clinit>,853
53,org.apache.commons.lang.SystemUtils,<clinit>,861
53,org.apache.commons.lang.SystemUtils,<clinit>,869
53,org.apache.commons.lang.SystemUtils,<clinit>,877
53,org.apache.commons.lang.SystemUtils,<clinit>,885
53,org.apache.commons.lang.SystemUtils,<clinit>,903
53,org.apache.commons.lang.SystemUtils,<clinit>,913
53,org.apache.commons.lang.SystemUtils,<clinit>,923
53,org.apache.commons.lang.SystemUtils,<clinit>,933
53,org.apache.commons.lang.SystemUtils,<clinit>,943
53,org.apache.commons.lang.SystemUtils,<clinit>,953
53,org.apache.commons.lang.SystemUtils,<clinit>,963
53,org.apache.commons.lang.SystemUtils,<clinit>,973
53,org.apache.commons.lang.SystemUtils,<clinit>,983
53,org.apache.commons.lang.SystemUtils,<clinit>,994
53,org.apache.commons.lang.SystemUtils,<clinit>,1006
53,org.apache.commons.lang.SystemUtils,<clinit>,1016
53,org.apache.commons.lang.SystemUtils,<clinit>,1026
53,org.apache.commons.lang.SystemUtils,<clinit>,1037
53,org.apache.commons.lang.SystemUtils,<clinit>,1048
53,org.apache.commons.lang.SystemUtils,<clinit>,1059
53,org.apache.commons.lang.SystemUtils,<clinit>,1070
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsFloat,1118
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsFloat,1121
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsFloat,1122
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsFloat,1123
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsFloat,1126
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1147
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1150
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1151
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1152
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1153
53,org.apache.commons.lang.SystemUtils,getJavaVersionAsInt,1158
53,org.apache.commons.lang.SystemUtils,getJavaVersionMatches,1188
53,org.apache.commons.lang.SystemUtils,getJavaVersionMatches,1191
53,org.apache.commons.lang.SystemUtils,getJavaVersionTrimmed,1170
53,org.apache.commons.lang.SystemUtils,getJavaVersionTrimmed,1171
53,org.apache.commons.lang.SystemUtils,getJavaVersionTrimmed,1172
53,org.apache.commons.lang.SystemUtils,getJavaVersionTrimmed,1173
53,org.apache.commons.lang.SystemUtils,getJavaVersionTrimmed,1174
53,org.apache.commons.lang.SystemUtils,getOSMatches,1201
53,org.apache.commons.lang.SystemUtils,getOSMatches,1204
53,org.apache.commons.lang.SystemUtils,getOSMatches,1215
53,org.apache.commons.lang.SystemUtils,getOSMatches,1218
53,org.apache.commons.lang.SystemUtils,getSystemProperty,1234
53,org.apache.commons.lang.SystemUtils,isJavaVersionAtLeast,1259
53,org.apache.commons.lang.time.DateUtils,<clinit>,44
53,org.apache.commons.lang.time.DateUtils,<clinit>,72
53,org.apache.commons.lang.time.DateUtils,modify,620
53,org.apache.commons.lang.time.DateUtils,modify,624
53,org.apache.commons.lang.time.DateUtils,modify,625
53,org.apache.commons.lang.time.DateUtils,modify,626
