bug,class,method,line
53,org.apache.commons.lang.time.DateUtils,<clinit>,44
53,org.apache.commons.lang.time.DateUtils,<clinit>,72
53,org.apache.commons.lang.time.DateUtils,modify,620
53,org.apache.commons.lang.time.DateUtils,modify,624
53,org.apache.commons.lang.time.DateUtils,modify,625
53,org.apache.commons.lang.time.DateUtils,modify,626
53,org.apache.commons.lang.time.DateUtils,modify,627
53,org.apache.commons.lang.time.DateUtils,modify,629
53,org.apache.commons.lang.time.DateUtils,modify,630
53,org.apache.commons.lang.time.DateUtils,modify,643
53,org.apache.commons.lang.time.DateUtils,modify,646
53,org.apache.commons.lang.time.DateUtils,modify,650
53,org.apache.commons.lang.time.DateUtils,modify,651
53,org.apache.commons.lang.time.DateUtils,modify,653
53,org.apache.commons.lang.time.DateUtils,modify,683
53,org.apache.commons.lang.time.DateUtils,modify,684
53,org.apache.commons.lang.time.DateUtils,modify,685
53,org.apache.commons.lang.time.DateUtils,modify,687
53,org.apache.commons.lang.time.DateUtils,modify,689
53,org.apache.commons.lang.time.DateUtils,modify,692
53,org.apache.commons.lang.time.DateUtils,round,436
53,org.apache.commons.lang.time.DateUtils,round,439
53,org.apache.commons.lang.time.DateUtils,round,440
53,org.apache.commons.lang.time.DateUtils,round,441
53,org.apache.commons.lang.time.DateUtils,round,442
