bug,class,method,line
65,org.apache.commons.lang.time.DateUtils,<clinit>,44
65,org.apache.commons.lang.time.DateUtils,<clinit>,72
65,org.apache.commons.lang.time.DateUtils,modify,487
65,org.apache.commons.lang.time.DateUtils,modify,491
65,org.apache.commons.lang.time.DateUtils,modify,492
65,org.apache.commons.lang.time.DateUtils,modify,493
65,org.apache.commons.lang.time.DateUtils,modify,494
65,org.apache.commons.lang.time.DateUtils,modify,496
65,org.apache.commons.lang.time.DateUtils,modify,513
65,org.apache.commons.lang.time.DateUtils,modify,517
65,org.apache.commons.lang.time.DateUtils,modify,518
65,org.apache.commons.lang.time.DateUtils,modify,520
65,org.apache.commons.lang.time.DateUtils,modify,550
65,org.apache.commons.lang.time.DateUtils,modify,551
65,org.apache.commons.lang.time.DateUtils,modify,552
65,org.apache.commons.lang.time.DateUtils,modify,554
65,org.apache.commons.lang.time.DateUtils,modify,556
65,org.apache.commons.lang.time.DateUtils,modify,559
65,org.apache.commons.lang.time.DateUtils,truncate,410
65,org.apache.commons.lang.time.DateUtils,truncate,413
65,org.apache.commons.lang.time.DateUtils,truncate,414
65,org.apache.commons.lang.time.DateUtils,truncate,415
65,org.apache.commons.lang.time.DateUtils,truncate,416
