bug,class,method,line
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,50
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,55
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,70
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,71
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,72
12,org.apache.commons.math3.distribution.NormalDistribution,<clinit>,44
12,org.apache.commons.math3.distribution.NormalDistribution,<clinit>,46
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,71
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,72
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,86
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,87
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,104
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,106
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,110
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,111
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,112
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,113
12,org.apache.commons.math3.distribution.NormalDistribution,density,135
12,org.apache.commons.math3.distribution.NormalDistribution,density,136
12,org.apache.commons.math3.distribution.NormalDistribution,density,137
12,org.apache.commons.math3.random.AbstractWell,<init>,72
12,org.apache.commons.math3.random.AbstractWell,<init>,73
12,org.apache.commons.math3.random.AbstractWell,<init>,94
12,org.apache.commons.math3.random.AbstractWell,<init>,99
12,org.apache.commons.math3.random.AbstractWell,<init>,100
12,org.apache.commons.math3.random.AbstractWell,<init>,101
12,org.apache.commons.math3.random.AbstractWell,<init>,102
12,org.apache.commons.math3.random.AbstractWell,<init>,106
12,org.apache.commons.math3.random.AbstractWell,<init>,107
12,org.apache.commons.math3.random.AbstractWell,<init>,108
12,org.apache.commons.math3.random.AbstractWell,<init>,109
12,org.apache.commons.math3.random.AbstractWell,<init>,110
12,org.apache.commons.math3.random.AbstractWell,<init>,111
12,org.apache.commons.math3.random.AbstractWell,<init>,112
12,org.apache.commons.math3.random.AbstractWell,<init>,113
12,org.apache.commons.math3.random.AbstractWell,<init>,114
12,org.apache.commons.math3.random.AbstractWell,<init>,115
12,org.apache.commons.math3.random.AbstractWell,<init>,116
12,org.apache.commons.math3.random.AbstractWell,<init>,120
12,org.apache.commons.math3.random.AbstractWell,<init>,122
12,org.apache.commons.math3.random.AbstractWell,setSeed,179
12,org.apache.commons.math3.random.AbstractWell,setSeed,180
12,org.apache.commons.math3.random.AbstractWell,setSeed,154
12,org.apache.commons.math3.random.AbstractWell,setSeed,155
12,org.apache.commons.math3.random.AbstractWell,setSeed,156
12,org.apache.commons.math3.random.AbstractWell,setSeed,159
12,org.apache.commons.math3.random.AbstractWell,setSeed,161
12,org.apache.commons.math3.random.AbstractWell,setSeed,162
12,org.apache.commons.math3.random.AbstractWell,setSeed,163
12,org.apache.commons.math3.random.AbstractWell,setSeed,164
12,org.apache.commons.math3.random.AbstractWell,setSeed,168
12,org.apache.commons.math3.random.AbstractWell,setSeed,169
12,org.apache.commons.math3.random.AbstractWell,setSeed,170
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,35
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,36
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,37
12,org.apache.commons.math3.random.BitsStreamGenerator,clear,165
12,org.apache.commons.math3.random.BitsStreamGenerator,clear,166
12,org.apache.commons.math3.random.RandomDataGenerator,<init>,128
12,org.apache.commons.math3.random.RandomDataGenerator,<init>,129
12,org.apache.commons.math3.random.RandomDataGenerator,<init>,115
12,org.apache.commons.math3.random.RandomDataGenerator,<init>,118
12,org.apache.commons.math3.random.RandomDataImpl,<init>,106
12,org.apache.commons.math3.random.RandomDataImpl,<init>,107
12,org.apache.commons.math3.random.RandomDataImpl,<init>,108
12,org.apache.commons.math3.random.Well19937c,<init>,57
12,org.apache.commons.math3.random.Well19937c,<init>,58
12,org.apache.commons.math3.util.FastMath,<clinit>,113
12,org.apache.commons.math3.util.FastMath,<clinit>,126
12,org.apache.commons.math3.util.FastMath,<clinit>,139
12,org.apache.commons.math3.util.FastMath,<clinit>,158
12,org.apache.commons.math3.util.FastMath,<clinit>,177
12,org.apache.commons.math3.util.FastMath,<clinit>,196
12,org.apache.commons.math3.util.FastMath,<clinit>,216
12,org.apache.commons.math3.util.FastMath,<clinit>,235
12,org.apache.commons.math3.util.FastMath,<clinit>,254
