bug,class,method,line
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,50
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,55
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,70
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,71
12,org.apache.commons.math3.distribution.AbstractRealDistribution,<init>,72
12,org.apache.commons.math3.distribution.AbstractRealDistribution,reseedRandomGenerator,240
12,org.apache.commons.math3.distribution.AbstractRealDistribution,reseedRandomGenerator,241
12,org.apache.commons.math3.distribution.AbstractRealDistribution,reseedRandomGenerator,242
12,org.apache.commons.math3.distribution.NormalDistribution,<clinit>,44
12,org.apache.commons.math3.distribution.NormalDistribution,<clinit>,46
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,71
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,72
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,86
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,87
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,104
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,106
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,110
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,111
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,112
12,org.apache.commons.math3.distribution.NormalDistribution,<init>,113
12,org.apache.commons.math3.distribution.NormalDistribution,sample,256
12,org.apache.commons.math3.random.AbstractWell,<init>,72
12,org.apache.commons.math3.random.AbstractWell,<init>,73
12,org.apache.commons.math3.random.AbstractWell,<init>,132
12,org.apache.commons.math3.random.AbstractWell,<init>,133
12,org.apache.commons.math3.random.AbstractWell,<init>,94
12,org.apache.commons.math3.random.AbstractWell,<init>,99
12,org.apache.commons.math3.random.AbstractWell,<init>,100
12,org.apache.commons.math3.random.AbstractWell,<init>,101
12,org.apache.commons.math3.random.AbstractWell,<init>,102
12,org.apache.commons.math3.random.AbstractWell,<init>,106
12,org.apache.commons.math3.random.AbstractWell,<init>,107
12,org.apache.commons.math3.random.AbstractWell,<init>,108
12,org.apache.commons.math3.random.AbstractWell,<init>,109
12,org.apache.commons.math3.random.AbstractWell,<init>,110
12,org.apache.commons.math3.random.AbstractWell,<init>,111
12,org.apache.commons.math3.random.AbstractWell,<init>,112
12,org.apache.commons.math3.random.AbstractWell,<init>,113
12,org.apache.commons.math3.random.AbstractWell,<init>,114
12,org.apache.commons.math3.random.AbstractWell,<init>,115
12,org.apache.commons.math3.random.AbstractWell,<init>,116
12,org.apache.commons.math3.random.AbstractWell,<init>,120
12,org.apache.commons.math3.random.AbstractWell,<init>,122
12,org.apache.commons.math3.random.AbstractWell,setSeed,179
12,org.apache.commons.math3.random.AbstractWell,setSeed,180
12,org.apache.commons.math3.random.AbstractWell,setSeed,154
12,org.apache.commons.math3.random.AbstractWell,setSeed,155
12,org.apache.commons.math3.random.AbstractWell,setSeed,156
12,org.apache.commons.math3.random.AbstractWell,setSeed,159
12,org.apache.commons.math3.random.AbstractWell,setSeed,161
12,org.apache.commons.math3.random.AbstractWell,setSeed,162
12,org.apache.commons.math3.random.AbstractWell,setSeed,163
12,org.apache.commons.math3.random.AbstractWell,setSeed,164
12,org.apache.commons.math3.random.AbstractWell,setSeed,168
12,org.apache.commons.math3.random.AbstractWell,setSeed,169
12,org.apache.commons.math3.random.AbstractWell,setSeed,170
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,35
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,36
12,org.apache.commons.math3.random.BitsStreamGenerator,<init>,37
12,org.apache.commons.math3.random.BitsStreamGenerator,clear,165
12,org.apache.commons.math3.random.BitsStreamGenerator,clear,166
12,org.apache.commons.math3.random.BitsStreamGenerator,nextDouble,85
12,org.apache.commons.math3.random.BitsStreamGenerator,nextDouble,86
12,org.apache.commons.math3.random.BitsStreamGenerator,nextDouble,87
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,99
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,101
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,102
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,103
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,104
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,105
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,106
12,org.apache.commons.math3.random.BitsStreamGenerator,nextGaussian,107
