bug,class,method,line
13,org.apache.commons.math3.analysis.FunctionUtils,toDifferentiableMultivariateVectorFunction,672
13,org.apache.commons.math3.analysis.FunctionUtils,toMultivariateDifferentiableVectorFunction,727
13,org.apache.commons.math3.analysis.FunctionUtils$18,<init>,672
13,org.apache.commons.math3.analysis.FunctionUtils$18,jacobian,680
13,org.apache.commons.math3.analysis.FunctionUtils$18,value,676
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,<init>,680
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,684
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,687
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,688
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,689
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,691
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,694
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,695
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,696
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,697
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,698
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,699
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,700
13,org.apache.commons.math3.analysis.FunctionUtils$18$1,value,704
13,org.apache.commons.math3.analysis.FunctionUtils$19,<init>,727
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,731
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,742
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,743
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,744
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,745
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,750
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,751
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,755
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,761
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,762
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,763
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,765
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,766
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,769
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,770
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,771
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,772
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,773
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,774
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,775
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,776
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,777
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,779
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,781
13,org.apache.commons.math3.analysis.FunctionUtils$19,value,784
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<clinit>,128
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,159
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,161
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,162
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,163
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,164
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,167
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,170
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,173
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,<init>,178
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,414
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,415
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,418
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,419
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,420
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,423
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,429
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,430
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,431
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,436
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,437
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,438
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,439
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,440
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,441
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,442
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,449
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,450
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,453
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,477
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,478
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,479
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,480
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,481
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,494
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,498
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,502
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,264
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,265
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,268
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,269
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,270
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,273
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,275
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,281
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,284
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,289
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileDerivativesIndirection,293
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileLowerIndirection,312
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileLowerIndirection,313
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,347
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,348
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,352
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,353
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,354
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,356
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,358
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,359
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,360
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,361
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,362
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,363
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,367
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,368
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,369
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,370
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,371
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,372
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,373
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,380
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,384
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,388
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,238
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,239
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,240
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,242
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,243
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,244
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,245
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileSizes,249
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,188
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,189
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,190
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,192
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,197
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,198
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,199
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,201
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,203
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,204
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,209
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,210
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,211
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,212
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,213
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,214
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,215
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,221
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getCompiler,223
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getFreeParameters,628
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getOrder,635
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,566
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,567
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,568
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,569
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,572
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,575
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,576
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,580
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,584
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,589
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,542
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getPartialDerivativeIndex,546
13,org.apache.commons.math3.analysis.differentiation.DSCompiler,getSize,646
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,82
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,83
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,92
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,93
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,94
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,111
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,113
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,117
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,119
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,122
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,197
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,198
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,201
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,202
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,72
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,73
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,74
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,<init>,75
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,getFreeParameters,216
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,getOrder,223
13,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,getPartialDerivative,246
