bug,class,method,line
24,org.apache.commons.math3.optimization.GoalType,<clinit>,27
24,org.apache.commons.math3.optimization.GoalType,<clinit>,30
24,org.apache.commons.math3.optimization.GoalType,<clinit>,33
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,<init>,40
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,<init>,55
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,<init>,56
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,<init>,57
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,computeObjectiveValue,104
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,computeObjectiveValue,107
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,computeObjectiveValue,108
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getConvergenceChecker,149
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getEvaluations,66
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getGoalType,73
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getMax,85
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getMin,79
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,getStartValue,91
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,117
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,120
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,125
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,126
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,127
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,128
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,129
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,130
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,131
24,org.apache.commons.math3.optimization.univariate.BaseAbstractUnivariateOptimizer,optimize,134
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<clinit>,42
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<clinit>,46
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,103
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,104
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,75
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,77
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,80
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,83
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,84
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,<init>,85
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,109
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,110
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,111
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,112
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,115
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,120
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,121
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,122
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,128
24,org.apache.commons.math3.optimization.univariate.BrentOptimizer,doOptimize,129
