bug,class,method,line
26,org.apache.commons.math.ConvergenceException,<init>,44
26,org.apache.commons.math.ConvergenceException,<init>,45
26,org.apache.commons.math.MathException,<clinit>,47
26,org.apache.commons.math.MathException,<clinit>,49
26,org.apache.commons.math.MathException,<clinit>,50
26,org.apache.commons.math.MathException,<clinit>,53
26,org.apache.commons.math.MathException,<clinit>,54
26,org.apache.commons.math.MathException,<clinit>,58
26,org.apache.commons.math.MathException,<init>,152
26,org.apache.commons.math.MathException,<init>,153
26,org.apache.commons.math.MathException,<init>,154
26,org.apache.commons.math.MathException,<init>,155
26,org.apache.commons.math.MathException,<init>,156
26,org.apache.commons.math.MathException,buildMessage,114
26,org.apache.commons.math.MathException,buildMessage,115
26,org.apache.commons.math.MathException,buildMessage,116
26,org.apache.commons.math.MathException,translate,84
26,org.apache.commons.math.MathException,translate,86
26,org.apache.commons.math.MathException,translate,95
26,org.apache.commons.math.MathException,translate,101
26,org.apache.commons.math.fraction.Fraction,<clinit>,31
26,org.apache.commons.math.fraction.Fraction,<clinit>,34
26,org.apache.commons.math.fraction.Fraction,<init>,74
26,org.apache.commons.math.fraction.Fraction,<init>,75
26,org.apache.commons.math.fraction.Fraction,<init>,130
26,org.apache.commons.math.fraction.Fraction,<init>,131
26,org.apache.commons.math.fraction.Fraction,<init>,132
26,org.apache.commons.math.fraction.Fraction,<init>,133
26,org.apache.commons.math.fraction.Fraction,<init>,134
26,org.apache.commons.math.fraction.Fraction,<init>,135
26,org.apache.commons.math.fraction.Fraction,<init>,140
26,org.apache.commons.math.fraction.Fraction,<init>,141
26,org.apache.commons.math.fraction.Fraction,<init>,142
26,org.apache.commons.math.fraction.Fraction,<init>,143
26,org.apache.commons.math.fraction.Fraction,<init>,146
26,org.apache.commons.math.fraction.Fraction,<init>,147
26,org.apache.commons.math.fraction.Fraction,<init>,148
26,org.apache.commons.math.fraction.Fraction,<init>,149
26,org.apache.commons.math.fraction.Fraction,<init>,151
26,org.apache.commons.math.fraction.Fraction,<init>,152
26,org.apache.commons.math.fraction.Fraction,<init>,154
26,org.apache.commons.math.fraction.Fraction,<init>,155
26,org.apache.commons.math.fraction.Fraction,<init>,157
26,org.apache.commons.math.fraction.Fraction,<init>,158
26,org.apache.commons.math.fraction.Fraction,<init>,159
26,org.apache.commons.math.fraction.Fraction,<init>,160
26,org.apache.commons.math.fraction.Fraction,<init>,161
26,org.apache.commons.math.fraction.Fraction,<init>,162
26,org.apache.commons.math.fraction.Fraction,<init>,163
26,org.apache.commons.math.fraction.Fraction,<init>,166
26,org.apache.commons.math.fraction.Fraction,<init>,167
26,org.apache.commons.math.fraction.Fraction,<init>,168
26,org.apache.commons.math.fraction.Fraction,<init>,169
26,org.apache.commons.math.fraction.Fraction,<init>,170
26,org.apache.commons.math.fraction.Fraction,<init>,171
26,org.apache.commons.math.fraction.Fraction,<init>,172
26,org.apache.commons.math.fraction.Fraction,<init>,173
26,org.apache.commons.math.fraction.Fraction,<init>,177
26,org.apache.commons.math.fraction.Fraction,<init>,201
26,org.apache.commons.math.fraction.Fraction,<init>,202
26,org.apache.commons.math.fraction.Fraction,<init>,205
26,org.apache.commons.math.fraction.Fraction,<init>,213
26,org.apache.commons.math.fraction.Fraction,<init>,214
26,org.apache.commons.math.fraction.Fraction,<init>,215
26,org.apache.commons.math.fraction.Fraction,<init>,216
26,org.apache.commons.math.fraction.Fraction,reduce,541
26,org.apache.commons.math.fraction.Fraction,reduce,542
26,org.apache.commons.math.fraction.Fraction,reduce,548
26,org.apache.commons.math.fraction.Fraction,reduce,552
26,org.apache.commons.math.fraction.FractionConversionException,<init>,52
26,org.apache.commons.math.fraction.FractionConversionException,<init>,54
26,org.apache.commons.math.util.MathUtils,gcd,374
26,org.apache.commons.math.util.MathUtils,gcd,375
26,org.apache.commons.math.util.MathUtils,gcd,382
26,org.apache.commons.math.util.MathUtils,gcd,383
26,org.apache.commons.math.util.MathUtils,gcd,385
26,org.apache.commons.math.util.MathUtils,gcd,386
26,org.apache.commons.math.util.MathUtils,gcd,389
26,org.apache.commons.math.util.MathUtils,gcd,390
26,org.apache.commons.math.util.MathUtils,gcd,396
26,org.apache.commons.math.util.MathUtils,gcd,401
26,org.apache.commons.math.util.MathUtils,gcd,407
26,org.apache.commons.math.util.MathUtils,gcd,411
26,org.apache.commons.math.util.MathUtils,gcd,414
26,org.apache.commons.math.util.MathUtils,gcd,417
26,org.apache.commons.math.util.MathUtils,gcd,420
26,org.apache.commons.math.util.MathUtils,gcd,421
