bug,class,method,line
26,org.apache.commons.math.fraction.Fraction,<clinit>,31
26,org.apache.commons.math.fraction.Fraction,<clinit>,34
26,org.apache.commons.math.fraction.Fraction,<init>,194
26,org.apache.commons.math.fraction.Fraction,<init>,195
26,org.apache.commons.math.fraction.Fraction,<init>,198
26,org.apache.commons.math.fraction.Fraction,<init>,206
26,org.apache.commons.math.fraction.Fraction,<init>,207
26,org.apache.commons.math.fraction.Fraction,<init>,208
26,org.apache.commons.math.fraction.Fraction,<init>,209
26,org.apache.commons.math.fraction.Fraction,equals,270
26,org.apache.commons.math.fraction.Fraction,equals,271
26,org.apache.commons.math.fraction.Fraction,equals,272
26,org.apache.commons.math.fraction.Fraction,equals,273
26,org.apache.commons.math.fraction.Fraction,equals,278
26,org.apache.commons.math.fraction.Fraction,equals,279
26,org.apache.commons.math.fraction.Fraction,equals,281
26,org.apache.commons.math.fraction.Fraction,equals,283
26,org.apache.commons.math.fraction.Fraction,equals,284
26,org.apache.commons.math.fraction.Fraction,equals,287
26,org.apache.commons.math.fraction.Fraction,getDenominator,304
26,org.apache.commons.math.fraction.Fraction,getNumerator,312
26,org.apache.commons.math.fraction.Fraction,hashCode,320
26,org.apache.commons.math.fraction.Fraction,reduce,534
26,org.apache.commons.math.fraction.Fraction,reduce,535
26,org.apache.commons.math.fraction.Fraction,reduce,536
26,org.apache.commons.math.fraction.Fraction,reduce,537
26,org.apache.commons.math.fraction.Fraction,reduce,541
26,org.apache.commons.math.fraction.Fraction,reduce,545
26,org.apache.commons.math.util.MathUtils,gcd,374
26,org.apache.commons.math.util.MathUtils,gcd,375
26,org.apache.commons.math.util.MathUtils,gcd,382
26,org.apache.commons.math.util.MathUtils,gcd,383
26,org.apache.commons.math.util.MathUtils,gcd,385
26,org.apache.commons.math.util.MathUtils,gcd,386
26,org.apache.commons.math.util.MathUtils,gcd,389
26,org.apache.commons.math.util.MathUtils,gcd,390
26,org.apache.commons.math.util.MathUtils,gcd,396
26,org.apache.commons.math.util.MathUtils,gcd,401
26,org.apache.commons.math.util.MathUtils,gcd,407
26,org.apache.commons.math.util.MathUtils,gcd,411
26,org.apache.commons.math.util.MathUtils,gcd,414
26,org.apache.commons.math.util.MathUtils,gcd,417
26,org.apache.commons.math.util.MathUtils,gcd,420
26,org.apache.commons.math.util.MathUtils,gcd,421
