bug,class,method,line
26,org.apache.commons.math.fraction.Fraction,<clinit>,31
26,org.apache.commons.math.fraction.Fraction,<clinit>,34
26,org.apache.commons.math.fraction.Fraction,<init>,194
26,org.apache.commons.math.fraction.Fraction,<init>,195
26,org.apache.commons.math.fraction.Fraction,<init>,198
26,org.apache.commons.math.fraction.Fraction,<init>,206
26,org.apache.commons.math.fraction.Fraction,<init>,207
26,org.apache.commons.math.fraction.Fraction,<init>,208
26,org.apache.commons.math.fraction.Fraction,<init>,209
26,org.apache.commons.math.fraction.Fraction,getDenominator,304
26,org.apache.commons.math.fraction.Fraction,getNumerator,312
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,503
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,506
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,510
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,513
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,522
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,523
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,524
26,org.apache.commons.math.fraction.Fraction,getReducedFraction,525
26,org.apache.commons.math.fraction.Fraction,multiply,456
26,org.apache.commons.math.fraction.Fraction,multiply,457
26,org.apache.commons.math.fraction.Fraction,multiply,459
26,org.apache.commons.math.fraction.Fraction,multiply,464
26,org.apache.commons.math.fraction.Fraction,multiply,465
26,org.apache.commons.math.fraction.Fraction,multiply,466
26,org.apache.commons.math.fraction.Fraction,reduce,534
26,org.apache.commons.math.fraction.Fraction,reduce,535
26,org.apache.commons.math.fraction.Fraction,reduce,541
26,org.apache.commons.math.fraction.Fraction,reduce,545
26,org.apache.commons.math.util.MathUtils,gcd,374
26,org.apache.commons.math.util.MathUtils,gcd,375
26,org.apache.commons.math.util.MathUtils,gcd,382
26,org.apache.commons.math.util.MathUtils,gcd,383
26,org.apache.commons.math.util.MathUtils,gcd,385
26,org.apache.commons.math.util.MathUtils,gcd,386
26,org.apache.commons.math.util.MathUtils,gcd,389
26,org.apache.commons.math.util.MathUtils,gcd,390
26,org.apache.commons.math.util.MathUtils,gcd,392
26,org.apache.commons.math.util.MathUtils,gcd,393
26,org.apache.commons.math.util.MathUtils,gcd,394
26,org.apache.commons.math.util.MathUtils,gcd,396
26,org.apache.commons.math.util.MathUtils,gcd,401
26,org.apache.commons.math.util.MathUtils,gcd,407
26,org.apache.commons.math.util.MathUtils,gcd,408
26,org.apache.commons.math.util.MathUtils,gcd,411
26,org.apache.commons.math.util.MathUtils,gcd,412
26,org.apache.commons.math.util.MathUtils,gcd,414
26,org.apache.commons.math.util.MathUtils,gcd,417
26,org.apache.commons.math.util.MathUtils,gcd,420
26,org.apache.commons.math.util.MathUtils,gcd,421
26,org.apache.commons.math.util.MathUtils,mulAndCheck,549
26,org.apache.commons.math.util.MathUtils,mulAndCheck,550
26,org.apache.commons.math.util.MathUtils,mulAndCheck,553
