bug,class,method,line
28,org.apache.commons.math3.linear.AbstractRealMatrix,<clinit>,43
28,org.apache.commons.math3.linear.AbstractRealMatrix,<clinit>,46
28,org.apache.commons.math3.linear.AbstractRealMatrix,<clinit>,47
28,org.apache.commons.math3.linear.AbstractRealMatrix,<init>,61
28,org.apache.commons.math3.linear.AbstractRealMatrix,<init>,62
28,org.apache.commons.math3.linear.AbstractRealMatrix,<init>,65
28,org.apache.commons.math3.linear.AbstractRealMatrix,<init>,68
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,<init>,56
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,<init>,57
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,<init>,58
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,getColumnDimension,329
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,getDataRef,255
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,getEntry,295
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,getEntry,296
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,getRowDimension,323
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,setEntry,302
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,setEntry,303
28,org.apache.commons.math3.linear.Array2DRowRealMatrix,setEntry,304
28,org.apache.commons.math3.linear.ArrayRealVector,<clinit>,42
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,199
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,200
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,201
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,85
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,86
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,87
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,103
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,104
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,107
28,org.apache.commons.math3.linear.ArrayRealVector,<init>,108
28,org.apache.commons.math3.linear.ArrayRealVector,add,38
28,org.apache.commons.math3.linear.ArrayRealVector,checkVectorDimensions,743
28,org.apache.commons.math3.linear.ArrayRealVector,checkVectorDimensions,746
28,org.apache.commons.math3.linear.ArrayRealVector,copy,286
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,449
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,450
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,451
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,452
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,453
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,454
28,org.apache.commons.math3.linear.ArrayRealVector,dotProduct,456
28,org.apache.commons.math3.linear.ArrayRealVector,getDimension,601
28,org.apache.commons.math3.linear.ArrayRealVector,mapMultiplyToSelf,375
28,org.apache.commons.math3.linear.ArrayRealVector,mapMultiplyToSelf,376
28,org.apache.commons.math3.linear.ArrayRealVector,mapMultiplyToSelf,378
28,org.apache.commons.math3.linear.ArrayRealVector,toArray,713
28,org.apache.commons.math3.linear.MatrixUtils,<clinit>,53
28,org.apache.commons.math3.linear.MatrixUtils,<clinit>,59
28,org.apache.commons.math3.linear.MatrixUtils,checkColumnIndex,406
28,org.apache.commons.math3.linear.MatrixUtils,checkColumnIndex,410
28,org.apache.commons.math3.linear.MatrixUtils,checkMatrixIndex,379
28,org.apache.commons.math3.linear.MatrixUtils,checkMatrixIndex,380
28,org.apache.commons.math3.linear.MatrixUtils,checkMatrixIndex,381
28,org.apache.commons.math3.linear.MatrixUtils,checkRowIndex,391
28,org.apache.commons.math3.linear.MatrixUtils,checkRowIndex,396
28,org.apache.commons.math3.linear.RealLinearOperator,<init>,53
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,115
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,117
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,133
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,134
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,135
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,136
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,137
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,138
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,139
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,140
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,142
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,143
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,99
28,org.apache.commons.math3.linear.RealMatrixFormat,<init>,101
28,org.apache.commons.math3.linear.RealMatrixFormat,getFormat,207
28,org.apache.commons.math3.linear.RealMatrixFormat,getInstance,215
